company,reg_no,sic_div,ebitda_growth_raw,y_growth,margin_2022,y_margin_pp,log_turnover,firm_age,log_employees,rev_per_emp,rev_cagr_pre,ebitda_cagr_pre,margin_trend_pre
IDG INTERNATIONAL MARKETING SERVICES EUROPE LTD,02113413,73,-0.6635967926689577,-0.6635967926689577,0.13262983698862985,-8.066524154916005,10.411517010672114,35.0,4.663439094112067,313.58733962264154,0.11636902322736287,-0.12885578407883236,-0.1464923732487906
BULGIN LIMITED,04949934,26,-0.2877977637335926,-0.2877977637335926,0.21219858156028368,-0.5540378710798571,10.56553098804474,19.0,3.912023005428146,775.5,0.04255520655842715,0.48510861014985984,0.13878692687561478
BARRACUDA NETWORKS LIMITED,05145504,62,0.33614072830394465,0.33614072830394465,0.05858411581409531,-0.5552606510302989,9.932931348164665,18.0,5.030437921392435,134.6250392156863,0.09807637818270476,0.27752223094224027,0.021381615578988773
CROWN TRAVEL LIMITED,02095375,79,-0.9478022303799913,-0.9478022303799913,0.33247710447313344,-31.40113017912846,10.254408966619641,35.0,3.4011973816621555,946.9171333333333,-0.042104810925507774,0.306631017152007,0.20148146788384863
SCHRODERS IS LIMITED,03359127,64,-0.8837797212353102,-0.8837797212353102,0.21499500558199658,-15.301424475995898,11.128380007114567,25.0,4.795790545596741,562.6115702479339,0.13026424358415922,-0.09200287161170118,-0.19968673450751073
HALE HAMILTON (VALVES) LIMITED,01563775,28,0.11948240699963227,0.11948240699963227,0.2455414464970915,-3.7666529908736117,9.935021054260083,41.0,4.672828834461906,192.90391588785047,0.022086250057214762,0.16998679872782207,0.08184299812178403
ENVEA UK LTD,02514486,26,2.563344408478155,2.563344408478155,0.07326221996377587,6.302300312174931,9.454070635268684,32.0,4.3694478524670215,161.519,0.047297518786242776,0.01644905801488239,-0.00687484735941965
QAD EUROPE LIMITED,03653092,62,-0.31314285714285717,-0.31314285714285717,0.03563138819888423,-1.3918176016363182,10.108752224963046,24.0,4.5217885770490405,266.92391304347825,0.07422917917834915,0.03465045699446789,-0.0042474608672439865
ROLEC SERVICES LIMITED,02294468,43,-0.013589073255708406,-0.013589073255708406,0.2688972043025437,-0.5198875961009874,10.061845938965364,34.0,4.927253685157205,169.79507246376812,0.02878659287095031,0.06396205771882135,0.025797879589159606
CHAS 2013 LIMITED,08466203,84,-0.28833819241982506,-0.28833819241982506,0.21511445594230166,-12.181832385240716,9.676900579444158,9.0,4.672828834461906,149.01869158878506,0.20390196494474533,0.12375720664887302,-0.049385434624561964
